# vehicle id = 6
# model label  = IDM1
# model category = TIME_CONTINUOUS_MODEL
# model name = Intelligent-Driver-Model (short name: IDM)
# physical vehicle length (in m) = 8.00
# position x is defined by vehicle front (on the given road segment)
#     t[s],      lane,      x[m],    roadId,totalTravelledDistance[m],    v[m/s],  a[m/s^2],aModel[m/s^2],    gap[m],   dv[m/s],distToTrafficlight[m],fuelFlow[ml/s]
      1.00,         0,     220.0,         1,      0.00,     0.000,   0.00000,   0.00000,     2.000,  -0.00002,     -1.00,  0.000000
      2.00,         0,     220.0,         1,      0.00,     0.000,   0.00043,   0.00043,     2.001,  -0.00448,     -1.00,  0.000000
      3.00,         0,     220.0,         1,      0.00,     0.005,   0.01189,   0.01189,     2.024,  -0.05535,     -1.00,  0.000000
      4.00,         0,     220.0,         1,      0.02,     0.049,   0.07411,   0.07411,     2.150,  -0.21528,     -1.00,  0.000000
      5.00,         0,     220.1,         1,      0.14,     0.199,   0.21014,   0.21014,     2.485,  -0.46203,     -1.00,  0.000000
      6.00,         0,     220.5,         1,      0.48,     0.510,   0.37845,   0.37845,     3.076,  -0.71649,     -1.00,  0.000000
      7.00,         0,     221.2,         1,      1.21,     0.981,   0.52798,   0.52798,     3.904,  -0.93074,     -1.00,  0.000000
      8.00,         0,     222.5,         1,      2.48,     1.580,   0.64086,   0.64086,     4.921,  -1.09695,     -1.00,  0.000000
      9.00,         0,     224.4,         1,      4.40,     2.271,   0.72079,   0.72079,     6.084,  -1.22285,     -1.00,  0.000000
     10.00,         0,     227.0,         1,      7.05,     3.027,   0.77612,   0.77612,     7.356,  -1.31734,     -1.00,  0.000000
     11.00,         0,     230.5,         1,     10.47,     3.826,   0.81345,   0.81345,     8.710,  -1.38647,     -1.00,  0.000000
     12.00,         0,     234.7,         1,     14.71,     4.655,   0.83672,   0.83672,    10.122,  -1.43331,     -1.00,  0.000000
     13.00,         0,     239.8,         1,     19.79,     5.499,   0.84780,   0.84780,    11.569,  -1.45867,     -1.00,  0.000000
     14.00,         0,     245.7,         1,     25.71,     6.348,   0.84712,   0.84712,    13.032,  -1.46196,     -1.00,  0.000000
     15.00,         0,     252.5,         1,     32.48,     7.188,   0.83428,   0.83428,    14.486,  -1.44204,     -1.00,  0.000000
     16.00,         0,     260.1,         1,     40.08,     8.008,   0.80865,   0.80865,    15.908,  -1.39808,     -1.00,  0.000000
     17.00,         0,     268.5,         1,     48.48,     8.794,   0.76982,   0.76982,    17.274,  -1.33046,     -1.00,  0.000000
     18.00,         0,     277.7,         1,     57.65,     9.534,   0.71817,   0.71817,    18.561,  -1.24144,     -1.00,  0.000000
     19.00,         0,     287.5,         1,     67.53,    10.215,   0.65520,   0.65520,    19.751,  -1.13549,     -1.00,  0.000000
     20.00,         0,     298.1,         1,     78.06,    10.828,   0.58373,   0.58373,    20.829,  -1.01899,     -1.00,  0.000000
     21.00,         0,     309.2,         1,     89.16,    11.366,   0.50763,   0.50763,    21.788,  -0.89926,     -1.00,  0.000000
     22.00,         0,     320.8,         1,    100.77,    11.828,   0.43124,   0.43124,    22.628,  -0.78335,     -1.00,  0.000000
     23.00,         0,     332.8,         1,    112.79,    12.215,   0.35860,   0.35860,    23.358,  -0.67682,     -1.00,  0.000000
     24.00,         0,     345.2,         1,    125.17,    12.534,   0.29281,   0.29281,    23.986,  -0.58319,     -1.00,  0.000000
     25.00,         0,     357.8,         1,    137.84,    12.792,   0.23569,   0.23569,    24.529,  -0.50389,     -1.00,  0.000000
