# vehicle id = 21
# model label  = FVDM1
# model category = TIME_CONTINUOUS_MODEL
# model name = Optimal-Velocity-Model / Full-Velocity-Difference-Model (short name: OVM_FVDM)
# physical vehicle length (in m) = 8.00
# position x is defined by vehicle front (on the given road segment)
#     t[s],      lane,      x[m],    roadId,totalTravelledDistance[m],    v[m/s],  a[m/s^2],aModel[m/s^2],    gap[m],   dv[m/s],distToTrafficlight[m],fuelFlow[ml/s]
      1.00,         0,      70.0,         1,      0.04,     0.083,   0.07605,   0.07605,     2.000,   0.00000,     -1.00,  0.000000
      2.00,         0,      70.2,         1,      0.16,     0.150,   0.06201,   0.06201,     2.000,   0.00000,     -1.00,  0.000000
      3.00,         0,      70.3,         1,      0.34,     0.205,   0.05056,   0.05056,     2.000,   0.00000,     -1.00,  0.000000
      4.00,         0,      70.6,         1,      0.57,     0.250,   0.04123,   0.04123,     2.000,  -0.00000,     -1.00,  0.000000
      5.00,         0,      70.8,         1,      0.84,     0.286,   0.03362,   0.03362,     2.000,  -0.00000,     -1.00,  0.000000
      6.00,         0,      71.1,         1,      1.14,     0.316,   0.02741,   0.02741,     2.000,  -0.00000,     -1.00,  0.000000
      7.00,         0,      71.5,         1,      1.47,     0.340,   0.02235,   0.02235,     2.000,  -0.00000,     -1.00,  0.000000
      8.00,         0,      71.8,         1,      1.82,     0.360,   0.01822,   0.01822,     2.000,  -0.00000,     -1.00,  0.000000
      9.00,         0,      72.2,         1,      2.19,     0.376,   0.01486,   0.01486,     2.000,  -0.00000,     -1.00,  0.000000
     10.00,         0,      72.6,         1,      2.57,     0.390,   0.01212,   0.01212,     2.000,  -0.00000,     -1.00,  0.000000
     11.00,         0,      73.0,         1,      2.96,     0.400,   0.00989,   0.00989,     2.000,  -0.00002,     -1.00,  0.000000
     12.00,         0,      73.4,         1,      3.37,     0.409,   0.00809,   0.00809,     2.000,  -0.00007,     -1.00,  0.000000
     13.00,         0,      73.8,         1,      3.78,     0.416,   0.00667,   0.00667,     2.000,  -0.00021,     -1.00,  0.000000
     14.00,         0,      74.2,         1,      4.20,     0.422,   0.00560,   0.00560,     2.001,  -0.00053,     -1.00,  0.000000
     15.00,         0,      74.6,         1,      4.63,     0.427,   0.00492,   0.00492,     2.001,  -0.00116,     -1.00,  0.000000
     16.00,         0,      75.1,         1,      5.06,     0.432,   0.00465,   0.00465,     2.003,  -0.00230,     -1.00,  0.000000
     17.00,         0,      75.5,         1,      5.49,     0.437,   0.00489,   0.00489,     2.006,  -0.00417,     -1.00,  0.000000
     18.00,         0,      75.9,         1,      5.93,     0.442,   0.00572,   0.00572,     2.012,  -0.00703,     -1.00,  0.000000
     19.00,         0,      76.4,         1,      6.37,     0.449,   0.00722,   0.00722,     2.021,  -0.01115,     -1.00,  0.000000
     20.00,         0,      76.8,         1,      6.83,     0.457,   0.00949,   0.00949,     2.035,  -0.01676,     -1.00,  0.000000
     21.00,         0,      77.3,         1,      7.29,     0.469,   0.01260,   0.01260,     2.055,  -0.02411,     -1.00,  0.000000
