# vehicle id = 11
# model label  = FVDM1
# model category = TIME_CONTINUOUS_MODEL
# model name = Optimal-Velocity-Model / Full-Velocity-Difference-Model (short name: OVM_FVDM)
# physical vehicle length (in m) = 8.00
# position x is defined by vehicle front (on the given road segment)
#     t[s],      lane,      x[m],    roadId,totalTravelledDistance[m],    v[m/s],  a[m/s^2],aModel[m/s^2],    gap[m],   dv[m/s],distToTrafficlight[m],fuelFlow[ml/s]
      1.00,         0,     170.0,         1,      0.04,     0.083,   0.07605,   0.07605,     2.000,   0.00000,     -1.00,  0.000000
      2.00,         0,     170.2,         1,      0.16,     0.150,   0.06201,   0.06201,     2.000,  -0.00000,     -1.00,  0.000000
      3.00,         0,     170.3,         1,      0.34,     0.205,   0.05058,   0.05058,     2.000,  -0.00005,     -1.00,  0.000000
      4.00,         0,     170.6,         1,      0.57,     0.250,   0.04154,   0.04154,     2.000,  -0.00084,     -1.00,  0.000000
      5.00,         0,     170.8,         1,      0.84,     0.288,   0.03570,   0.03570,     2.003,  -0.00484,     -1.00,  0.000000
      6.00,         0,     171.1,         1,      1.14,     0.322,   0.03486,   0.03486,     2.013,  -0.01618,     -1.00,  0.000000
      7.00,         0,     171.5,         1,      1.48,     0.360,   0.04080,   0.04080,     2.039,  -0.03869,     -1.00,  0.000000
      8.00,         0,     171.9,         1,      1.87,     0.408,   0.05401,   0.05401,     2.094,  -0.07390,     -1.00,  0.000000
      9.00,         0,     172.3,         1,      2.30,     0.474,   0.07343,   0.07343,     2.191,  -0.12055,     -1.00,  0.000000
     10.00,         0,     172.8,         1,      2.82,     0.561,   0.09699,   0.09699,     2.338,  -0.17550,     -1.00,  0.000000
     11.00,         0,     173.4,         1,      3.43,     0.673,   0.12247,   0.12247,     2.543,  -0.23492,     -1.00,  0.000000
     12.00,         0,     174.2,         1,      4.18,     0.811,   0.14805,   0.14805,     2.808,  -0.29517,     -1.00,  0.000000
     13.00,         0,     175.1,         1,      5.07,     0.974,   0.17247,   0.17247,     3.133,  -0.35308,     -1.00,  0.000000
     14.00,         0,     176.1,         1,      6.13,     1.160,   0.19489,   0.19489,     3.513,  -0.40579,     -1.00,  0.000000
     15.00,         0,     177.4,         1,      7.39,     1.367,   0.21462,   0.21462,     3.942,  -0.45052,     -1.00,  0.000000
     16.00,         0,     178.9,         1,      8.87,     1.592,   0.23086,   0.23086,     4.410,  -0.48441,     -1.00,  0.000000
     17.00,         0,     180.6,         1,     10.58,     1.830,   0.24267,   0.24267,     4.906,  -0.50464,     -1.00,  0.000000
     18.00,         0,     182.5,         1,     12.53,     2.077,   0.24892,   0.24892,     5.414,  -0.50881,     -1.00,  0.000000
     19.00,         0,     184.7,         1,     14.74,     2.326,   0.24857,   0.24857,     5.917,  -0.49555,     -1.00,  0.000000
     20.00,         0,     187.2,         1,     17.18,     2.571,   0.24088,   0.24088,     6.399,  -0.46510,     -1.00,  0.000000
     21.00,         0,     189.9,         1,     19.87,     2.803,   0.22578,   0.22578,     6.843,  -0.41961,     -1.00,  0.000000
