# vehicle id = 21
# model label  = IDM1
# model category = TIME_CONTINUOUS_MODEL
# model name = Intelligent-Driver-Model (short name: IDM)
# physical vehicle length (in m) = 8.00
# position x is defined by vehicle front (on the given road segment)
#     t[s],      lane,      x[m],    roadId,totalTravelledDistance[m],    v[m/s],  a[m/s^2],aModel[m/s^2],    gap[m],   dv[m/s],distToTrafficlight[m],fuelFlow[ml/s]
      1.00,         0,      70.0,         1,      0.00,     0.000,   0.00000,   0.00000,     2.000,   0.00000,     -1.00,  0.000000
      2.00,         0,      70.0,         1,      0.00,     0.000,   0.00000,   0.00000,     2.000,   0.00000,     -1.00,  0.000000
      3.00,         0,      70.0,         1,      0.00,     0.000,   0.00000,   0.00000,     2.000,   0.00000,     -1.00,  0.000000
      4.00,         0,      70.0,         1,      0.00,     0.000,   0.00000,   0.00000,     2.000,   0.00000,     -1.00,  0.000000
      5.00,         0,      70.0,         1,      0.00,     0.000,   0.00000,   0.00000,     2.000,   0.00000,     -1.00,  0.000000
      6.00,         0,      70.0,         1,      0.00,     0.000,   0.00000,   0.00000,     2.000,   0.00000,     -1.00,  0.000000
      7.00,         0,      70.0,         1,      0.00,     0.000,   0.00000,   0.00000,     2.000,   0.00000,     -1.00,  0.000000
      8.00,         0,      70.0,         1,      0.00,     0.000,   0.00000,   0.00000,     2.000,  -0.00000,     -1.00,  0.000000
      9.00,         0,      70.0,         1,      0.00,     0.000,   0.00000,   0.00000,     2.000,  -0.00000,     -1.00,  0.000000
     10.00,         0,      70.0,         1,      0.00,     0.000,   0.00000,   0.00000,     2.000,  -0.00000,     -1.00,  0.000000
     11.00,         0,      70.0,         1,      0.00,     0.000,   0.00000,   0.00000,     2.000,  -0.00000,     -1.00,  0.000000
     12.00,         0,      70.0,         1,      0.00,     0.000,   0.00000,   0.00000,     2.000,  -0.00000,     -1.00,  0.000000
     13.00,         0,      70.0,         1,      0.00,     0.000,   0.00000,   0.00000,     2.000,  -0.00000,     -1.00,  0.000000
     14.00,         0,      70.0,         1,      0.00,     0.000,   0.00000,   0.00000,     2.000,  -0.00000,     -1.00,  0.000000
     15.00,         0,      70.0,         1,      0.00,     0.000,   0.00001,   0.00001,     2.000,  -0.00002,     -1.00,  0.000000
     16.00,         0,      70.0,         1,      0.00,     0.000,   0.00004,   0.00004,     2.000,  -0.00015,     -1.00,  0.000000
     17.00,         0,      70.0,         1,      0.00,     0.000,   0.00023,   0.00023,     2.000,  -0.00075,     -1.00,  0.000000
     18.00,         0,      70.0,         1,      0.00,     0.001,   0.00102,   0.00102,     2.002,  -0.00299,     -1.00,  0.000000
     19.00,         0,      70.0,         1,      0.00,     0.003,   0.00376,   0.00376,     2.008,  -0.00982,     -1.00,  0.000000
     20.00,         0,      70.0,         1,      0.01,     0.011,   0.01148,   0.01148,     2.025,  -0.02674,     -1.00,  0.000000
     21.00,         0,      70.0,         1,      0.03,     0.032,   0.02926,   0.02926,     2.067,  -0.06091,     -1.00,  0.000000
     22.00,         0,      70.1,         1,      0.08,     0.080,   0.06268,   0.06268,     2.155,  -0.11754,     -1.00,  0.000000
     23.00,         0,      70.2,         1,      0.20,     0.172,   0.11439,   0.11439,     2.310,  -0.19586,     -1.00,  0.000000
     24.00,         0,      70.4,         1,      0.45,     0.326,   0.18146,   0.18146,     2.551,  -0.28860,     -1.00,  0.000000
     25.00,         0,      70.9,         1,      0.88,     0.552,   0.25648,   0.25648,     2.889,  -0.38586,     -1.00,  0.000000
