# vehicle id = 11
# model label  = IDM1
# model category = TIME_CONTINUOUS_MODEL
# model name = Intelligent-Driver-Model (short name: IDM)
# physical vehicle length (in m) = 8.00
# position x is defined by vehicle front (on the given road segment)
#     t[s],      lane,      x[m],    roadId,totalTravelledDistance[m],    v[m/s],  a[m/s^2],aModel[m/s^2],    gap[m],   dv[m/s],distToTrafficlight[m],fuelFlow[ml/s]
      1.00,         0,     170.0,         1,      0.00,     0.000,   0.00000,   0.00000,     2.000,   0.00000,     -1.00,  0.000000
      2.00,         0,     170.0,         1,      0.00,     0.000,   0.00000,   0.00000,     2.000,  -0.00000,     -1.00,  0.000000
      3.00,         0,     170.0,         1,      0.00,     0.000,   0.00000,   0.00000,     2.000,  -0.00000,     -1.00,  0.000000
      4.00,         0,     170.0,         1,      0.00,     0.000,   0.00000,   0.00000,     2.000,  -0.00000,     -1.00,  0.000000
      5.00,         0,     170.0,         1,      0.00,     0.000,   0.00000,   0.00000,     2.000,  -0.00002,     -1.00,  0.000000
      6.00,         0,     170.0,         1,      0.00,     0.000,   0.00007,   0.00007,     2.000,  -0.00040,     -1.00,  0.000000
      7.00,         0,     170.0,         1,      0.00,     0.000,   0.00082,   0.00082,     2.002,  -0.00353,     -1.00,  0.000000
      8.00,         0,     170.0,         1,      0.00,     0.003,   0.00546,   0.00546,     2.011,  -0.01821,     -1.00,  0.000000
      9.00,         0,     170.0,         1,      0.01,     0.018,   0.02316,   0.02316,     2.048,  -0.06186,     -1.00,  0.000000
     10.00,         0,     170.0,         1,      0.05,     0.065,   0.06785,   0.06785,     2.150,  -0.15006,     -1.00,  0.000000
     11.00,         0,     170.2,         1,      0.16,     0.178,   0.14668,   0.14668,     2.362,  -0.27993,     -1.00,  0.000000
     12.00,         0,     170.4,         1,      0.44,     0.385,   0.25027,   0.25027,     2.717,  -0.43021,     -1.00,  0.000000
     13.00,         0,     171.0,         1,      0.97,     0.701,   0.35943,   0.35943,     3.222,  -0.57779,     -1.00,  0.000000
     14.00,         0,     171.9,         1,      1.88,     1.122,   0.45881,   0.45881,     3.867,  -0.70918,     -1.00,  0.000000
     15.00,         0,     173.2,         1,      3.25,     1.632,   0.54188,   0.54188,     4.633,  -0.82033,     -1.00,  0.000000
     16.00,         0,     175.2,         1,      5.16,     2.215,   0.60829,   0.60829,     5.501,  -0.91208,     -1.00,  0.000000
     17.00,         0,     177.7,         1,      7.69,     2.855,   0.66006,   0.66006,     6.452,  -0.98659,     -1.00,  0.000000
     18.00,         0,     180.9,         1,     10.89,     3.540,   0.69942,   0.69942,     7.469,  -1.04566,     -1.00,  0.000000
     19.00,         0,     184.8,         1,     14.79,     4.257,   0.72795,   0.72795,     8.538,  -1.09017,     -1.00,  0.000000
     20.00,         0,     189.4,         1,     19.41,     4.997,   0.74646,   0.74646,     9.644,  -1.12009,     -1.00,  0.000000
     21.00,         0,     194.8,         1,     24.78,     5.749,   0.75503,   0.75503,    10.773,  -1.13467,     -1.00,  0.000000
     22.00,         0,     200.9,         1,     30.91,     6.504,   0.75325,   0.75325,    11.908,  -1.13274,     -1.00,  0.000000
     23.00,         0,     207.8,         1,     37.79,     7.251,   0.74050,   0.74050,    13.032,  -1.11319,     -1.00,  0.000000
     24.00,         0,     215.4,         1,     45.40,     7.978,   0.71622,   0.71622,    14.128,  -1.07546,     -1.00,  0.000000
     25.00,         0,     223.7,         1,     53.73,     8.673,   0.68030,   0.68030,    15.177,  -1.02003,     -1.00,  0.000000
