# vehicle id = 16
# model label  = FVDM1
# model category = TIME_CONTINUOUS_MODEL
# model name = Optimal-Velocity-Model / Full-Velocity-Difference-Model (short name: OVM_FVDM)
# physical vehicle length (in m) = 8.00
# position x is defined by vehicle front (on the given road segment)
#     t[s],      lane,      x[m],    roadId,totalTravelledDistance[m],    v[m/s],  a[m/s^2],aModel[m/s^2],    gap[m],   dv[m/s],distToTrafficlight[m],fuelFlow[ml/s]
      1.00,         0,     120.0,         1,      0.04,     0.083,   0.07605,   0.07605,     2.000,   0.00000,     -1.00,  0.000000
      2.00,         0,     120.2,         1,      0.16,     0.150,   0.06201,   0.06201,     2.000,   0.00000,     -1.00,  0.000000
      3.00,         0,     120.3,         1,      0.34,     0.205,   0.05056,   0.05056,     2.000,  -0.00000,     -1.00,  0.000000
      4.00,         0,     120.6,         1,      0.57,     0.250,   0.04123,   0.04123,     2.000,  -0.00000,     -1.00,  0.000000
      5.00,         0,     120.8,         1,      0.84,     0.286,   0.03362,   0.03362,     2.000,  -0.00000,     -1.00,  0.000000
      6.00,         0,     121.1,         1,      1.14,     0.316,   0.02741,   0.02741,     2.000,  -0.00001,     -1.00,  0.000000
      7.00,         0,     121.5,         1,      1.47,     0.340,   0.02238,   0.02238,     2.000,  -0.00007,     -1.00,  0.000000
      8.00,         0,     121.8,         1,      1.82,     0.360,   0.01836,   0.01836,     2.000,  -0.00031,     -1.00,  0.000000
      9.00,         0,     122.2,         1,      2.19,     0.377,   0.01534,   0.01534,     2.001,  -0.00107,     -1.00,  0.000000
     10.00,         0,     122.6,         1,      2.57,     0.391,   0.01346,   0.01346,     2.003,  -0.00289,     -1.00,  0.000000
     11.00,         0,     123.0,         1,      2.97,     0.404,   0.01296,   0.01296,     2.007,  -0.00651,     -1.00,  0.000000
     12.00,         0,     123.4,         1,      3.38,     0.417,   0.01414,   0.01414,     2.017,  -0.01274,     -1.00,  0.000000
     13.00,         0,     123.8,         1,      3.80,     0.433,   0.01726,   0.01726,     2.034,  -0.02229,     -1.00,  0.000000
     14.00,         0,     124.2,         1,      4.25,     0.454,   0.02244,   0.02244,     2.063,  -0.03569,     -1.00,  0.000000
     15.00,         0,     124.7,         1,      4.71,     0.480,   0.02969,   0.02969,     2.107,  -0.05320,     -1.00,  0.000000
     16.00,         0,     125.2,         1,      5.21,     0.515,   0.03891,   0.03891,     2.170,  -0.07485,     -1.00,  0.000000
     17.00,         0,     125.7,         1,      5.75,     0.561,   0.04994,   0.04994,     2.258,  -0.10051,     -1.00,  0.000000
     18.00,         0,     126.3,         1,      6.33,     0.618,   0.06259,   0.06259,     2.373,  -0.12994,     -1.00,  0.000000
     19.00,         0,     127.0,         1,      6.99,     0.689,   0.07670,   0.07670,     2.519,  -0.16280,     -1.00,  0.000000
     20.00,         0,     127.7,         1,      7.72,     0.775,   0.09214,   0.09214,     2.699,  -0.19871,     -1.00,  0.000000
     21.00,         0,     128.5,         1,      8.54,     0.877,   0.10877,   0.10877,     2.917,  -0.23709,     -1.00,  0.000000
