# vehicle id = 2
# model label  = IDM1
# model category = TIME_CONTINUOUS_MODEL
# model name = Intelligent-Driver-Model (short name: IDM)
# physical vehicle length (in m) = 8.00
# position x is defined by vehicle front (on the given road segment)
#     t[s],      lane,      x[m],    roadId,totalTravelledDistance[m],    v[m/s],  a[m/s^2],aModel[m/s^2],    gap[m],   dv[m/s],distToTrafficlight[m],fuelFlow[ml/s]
      1.00,         0,     260.5,         1,      0.50,     1.000,   0.99997,   0.99997,   731.500,   0.99999,     -1.00,  0.000000
      2.00,         0,     262.0,         1,      2.00,     2.000,   0.99974,   0.99974,   730.000,   1.99986,     -1.00,  0.000000
      3.00,         0,     264.5,         1,      4.50,     2.999,   0.99867,   0.99867,   727.501,   2.99906,     -1.00,  0.000000
      4.00,         0,     268.0,         1,      8.00,     3.996,   0.99563,   0.99563,   724.003,   3.99612,     -1.00,  0.000000
      5.00,         0,     272.5,         1,     12.49,     4.988,   0.98910,   0.98910,   719.510,   4.98818,     -1.00,  0.000000
      6.00,         0,     278.0,         1,     17.97,     5.971,   0.97713,   0.97713,   714.030,   5.97062,     -1.00,  0.000000
      7.00,         0,     284.4,         1,     24.43,     6.937,   0.95763,   0.95763,   707.574,   6.93673,     -1.00,  0.000000
      8.00,         0,     291.8,         1,     31.84,     7.878,   0.92852,   0.92852,   700.165,   7.87774,     -1.00,  0.000000
      9.00,         0,     300.2,         1,     40.17,     8.783,   0.88821,   0.88821,   691.831,   8.78302,     -1.00,  0.000000
     10.00,         0,     309.4,         1,     49.39,     9.641,   0.83595,   0.83595,   682.615,   9.64083,     -1.00,  0.000000
     11.00,         0,     319.4,         1,     59.43,    10.439,   0.77221,   0.77221,   672.569,  10.43940,     -1.00,  0.000000
     12.00,         0,     330.2,         1,     70.24,    11.168,   0.69887,   0.69887,   661.760,  11.16827,     -1.00,  0.000000
     13.00,         0,     341.7,         1,     81.74,    11.820,   0.61903,   0.61903,   650.259,  11.81961,     -1.00,  0.000000
     14.00,         0,     353.9,         1,     93.85,    12.389,   0.53651,   0.53651,   638.148,  12.38918,     -1.00,  0.000000
     15.00,         0,     366.5,         1,    106.49,    12.877,   0.45528,   0.45528,   625.509,  12.87670,     -1.00,  0.000000
     16.00,         0,     379.6,         1,    119.58,    13.286,   0.37876,   0.37876,   612.422,  13.28558,     -1.00,  0.000000
     17.00,         0,     393.0,         1,    133.04,    13.622,   0.30943,   0.30943,   598.962,  13.62210,     -1.00,  0.000000
     18.00,         0,     406.8,         1,    146.80,    13.894,   0.24869,   0.24869,   585.199,  13.89436,     -1.00,  0.000000
     19.00,         0,     420.8,         1,    160.81,    14.111,   0.19695,   0.19695,   571.192,  14.11129,     -1.00,  0.000000
     20.00,         0,     435.0,         1,    175.01,    14.282,   0.15390,   0.15390,   556.993,  14.28174,     -1.00,  0.000000
     21.00,         0,     449.4,         1,    189.36,    14.414,   0.11873,   0.11873,   542.642,  14.41395,     -1.00,  0.000000
     22.00,         0,     463.8,         1,    203.82,    14.515,   0.09041,   0.09041,   528.175,  14.51519,     -1.00,  0.000000
     23.00,         0,     478.4,         1,    218.38,    14.592,   0.06783,   0.06783,   513.620,  14.59163,     -1.00,  0.000000
     24.00,         0,     493.0,         1,    233.00,    14.648,   0.04996,   0.04996,   498.999,  14.64840,     -1.00,  0.000000
     25.00,         0,     507.7,         1,    247.67,    14.690,   0.03586,   0.03586,   484.328,  14.68964,     -1.00,  0.000000
